,0,1,2
0,못난이 감자 특대 5kg,"최저13,900원",https://cr.shopping.naver.com/adcr.nhn?x=AM9PyzEuNMpygLPN5HAUXv%2F%2F%2Fw%3D%3Ds%2BPv1wfv85MNz0skya383jypvKwR8fWDkG1OqjPpFcL%2F6tqFPUgrb4kukVk4dN7aAz7rt3oBo3tTczjIDZriVKEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2Fbtl4iW%2BMD%2FQjh61pzAKu9w5SlWYXKRqXv5iR0OtLuLTQApDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExgKNXNAqcGnl4EKzS5CqJ4MkJSqE1u6AUeUuHufxXkT4qijoc0bAzZ9Ere3GQRwqNTd58tKsZRBbL902hIJTKlELpTEl5qHQ6bSWQg5m1P1kicHw%2BbVNBFavLWf1I9nbM7G%2BbOskCpqCS6N%2Bmj%2FslzHYz8uX%2FXe7v1C9wPOHQLR3U84QNaiKnIKwX3k0VWnnZV0in6CNSUqxwwB24dFuOiADWrhHEcp0p%2F%2FKKziu53PdAbehTNBvrPZJhXc82bHE6WWUU5tPhqlv8%2F6onu4Bl%2FbV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=21515416638&catId=50002215
1,해도지 못난이 고향감자 10kg,"최저21,040원",https://cr.shopping.naver.com/adcr.nhn?x=YFvg%2F4Xd2iysC5Z1uvXPIf%2F%2F%2Fw%3D%3Dsjav1VKtXcN8IZIbXUmlvyYoODEH0f%2BYAKk0c3GxRJTn6tqFPUgrb4kukVk4dN7aAV%2Fl7pnPEHA6aWyaJee74XUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2FbsnrK17xF7LFU1oj80FgkGyUM39DVUMeOe144wyHunbUQpDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExgvgT8b9jXo1aNzsn3zGDGDycWs3TjDHVv4c1SqsXutuaijoc0bAzZ9Ere3GQRwqNRmUGfa5Se9frZmHBgF%2Br%2BHLpTEl5qHQ6bSWQg5m1P1kmBWQapZLCEwTa76o98mprmfsNrAI7jPfSZXxNb4e5frXhh4aCb4E3X5jteZigx4FqOuInwfQ1XmfH35WvRpRXZZ8wesUqLuZhLUkySBr%2Ffh1hVakCkfACehEIsvLbjFXPoLRdeTzJJo5DQ5ovPMjEVSZ6YDUHCGrej0aixRHKTzZvp%2Bn7gMs96ixiVzfSr7QQ4SwcLvxUEucVmH%2BcOht40%3D&nvMid=21514505482&catId=50002215
2,조이야드 푸르젠 포근포근 감자 특 10kg,"최저23,150원",https://cr.shopping.naver.com/adcr.nhn?x=vZ5LICjggaxaNF2I8RzAMf%2F%2F%2Fw%3D%3DsZQoOVl2PRxETbBJwxobspCWgRsVb%2BtkpeF2lTLhNAqZ9nbz%2B8Cg0m0RbU%2FG%2BaYYDcKU%2BHT8VJw%2BKWujg4L%2B%2BzEPg%2F6PYJW9LpCSumzPJoijqwaShusc4uN1D0982lqsADninsbK%2B0QEqymm0VXCpcozLi21O7t%2BaM36aRQHaLjBBBajPSlNsehlVHvLCMQAahmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9C4UHmFypIBpdZYYqxijnT1n1YI3stlquoR8HUi1hhjYt%2Fa6W%2FGFeasd5DQNlTJa7P4nFM0ZQUIqcsmz3WIfC5%2BueCfFDuywxl3T1PQ6PKMjF5qtMG%2FJ0PUtQjclakIAMgLAUuBaPHSMXsa7lw1lXXVULwi9L40%2BwQ8nsPqaU2L%2FixbbcbX1aQhbxQXsCtCdtjFdq3a17hpspB7UPkUlQUvS13L%2FQM%2BCZuq6rpKOfI%2Bg798YCg%2FAmMWDp44133BvfsBSC4y9YFroUec0h2ZSZkQBN7WoYvS801sY%2FgMwu9JZWPLtkocVlSRVj0r0dxjO8mYZUoL7OR8pFBAJYwBtjV4jr%2Fvhuz%2FM2bOeEg7k3nONZclVCGDK%2BS20xA7L%2BztNKvfx7qigh41XrMOLnu7mMIzy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=22188480800&catId=50002215
3,과일천하 햇감자 중 10kg,"최저20,830원",https://cr.shopping.naver.com/adcr.nhn?x=OnJXeyTOKs9E8gQhMa4d8v%2F%2F%2Fw%3D%3Ds20z0U7RWlaq3RZ5dhq%2FaCb6Idb3IcJ4DEO%2BrHpUUAEf6tqFPUgrb4kukVk4dN7aA9%2BOZhD6tRe8h3JJnh5s2NkgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2FbuOjYSiostSnsZn1U2pkbSZnbCR81Ijr7zljDCn9OW5jgpDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExhDP4DWy465kmqI5ICZbgYFycWs3TjDHVv4c1SqsXutuaijoc0bAzZ9Ere3GQRwqNTZ8pGrdHHB5y6d%2B4OyZdt3LpTEl5qHQ6bSWQg5m1P1kkZ1BFaWxsbh%2BnjfhsaxcQpCkZykfRtEallMN1bh27dh5gp%2B6h%2FA%2BU%2BmQfK31kpnFS1Nd9n25T2pxcpNS5erEbTR04t0jzCj4lpEJWv8Zf07n3Af24KJVx3t5woVjGQGlx%2BTQhcSeQWdIQPKjPcHXd%2B6RhD0P%2FJLMIi8RD0z%2FB7wHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=22206179272&catId=50002215
4,길여울농산 강원도 수미감자 특 10kg,"최저57,100원",https://cr.shopping.naver.com/adcr.nhn?x=nLl3fAEzihKF63Qho22oCP%2F%2F%2Fw%3D%3Ds0CZvrYiZGB09FF5HoGtlhIgoZdyfbaXdbjZdgZJ9PXcwpG6kzVdwzYpTbuDgo77mfUNbC1ABLsXtyEAlliVW9EPg%2F6PYJW9LpCSumzPJoijqwaShusc4uN1D0982lqsADninsbK%2B0QEqymm0VXCpcozLi21O7t%2BaM36aRQHaLjBBBajPSlNsehlVHvLCMQAahmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BanhiwCEbyJohnHZLDIwkCn1YI3stlquoR8HUi1hhjYt%2Fa6W%2FGFeasd5DQNlTJa7P4nFM0ZQUIqcsmz3WIfC5%2BueCfFDuywxl3T1PQ6PKMjF5qtMG%2FJ0PUtQjclakIAMjBIVCFP8Lrpg7sG66Dxq%2FAULwi9L40%2BwQ8nsPqaU2L%2FixbbcbX1aQhbxQXsCtCdth3enSbxX2gR%2FBuaREUszZyS13L%2FQM%2BCZuq6rpKOfI%2Bg404vdJrwsOyH3v3HCoCaVEIS9yHxpDnFl267BbSMqVDOiqIi6DoJ7PVCHSasfZkW9kb6jS1DXbTN7znxHCCMuuk4bUu2HTXnsJefv0U9Jd3YnHIcETcJifOE8sb44IMxYzyIiNg2JwOrYgRr05SQPIeyLDo8viTvoa5sIjvMBUaxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=22178294034&catId=50002215
5,조이야드 푸르젠 포근포근 감자 중 10kg,"최저17,900원",https://cr.shopping.naver.com/adcr.nhn?x=eCl4bI1fJGmV5GGacMg8ZP%2F%2F%2Fw%3D%3Ds8fgPlpok%2F6Y82RkBQy%2FQdTX8KgX7hLjzKWKY1WRi36f6tqFPUgrb4kukVk4dN7aAvU2bGE4ZmgiflHu%2B8%2BfU%2F0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2Fbt1HqNDb5vyljKs6nqI5b2YO76sNRtasIDqimPeiJLLtQpDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExiqCRrjJwdLz9yMV%2BmOkjHikJSqE1u6AUeUuHufxXkT4qijoc0bAzZ9Ere3GQRwqNSmLzKareqNUQ%2Fmc77LWCmMLpTEl5qHQ6bSWQg5m1P1kiFoDJZhFh8Ku7ZXNtE%2BkkwKpHoWMdBMWpqjqF3przynjZ26wwaDnzIfb0OmuUh9bz%2BkUYxZpf8kyU5OZYcdVkzwb52HpCAjJhEsVmHaJGoNramjBwCZI9AwCV4mCTWQmWgg9CIw%2BOhVBC1n6PxmcB1w4HzTSE4wyTHgJslLyBe%2BVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=22188557211&catId=50002215
6,과일천하 햇감자 대 10kg,"최저31,430원",https://cr.shopping.naver.com/adcr.nhn?x=b8yFUYv%2BSJ52aowxx%2BdMqv%2F%2F%2Fw%3D%3DshuEzVfBWorcyvRf8sSJgm6u%2BDYkgvNEN5%2FGbYLvoMsX6tqFPUgrb4kukVk4dN7aAKNzCvbI2gb2GUc3NXE3%2Bd0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2FbsR3UKnQN8a09bVxmTo5b%2B4w5LlFE7QGwZKpgEdE00WLApDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExjNKnA2udE7X73ucq7D39OAbSaYUAR5OgK45HyKFf50r6ijoc0bAzZ9Ere3GQRwqNRaFeuQKKlkat24hbw5OlNCLpTEl5qHQ6bSWQg5m1P1kkZ1BFaWxsbh%2BnjfhsaxcQrElAhmxU5f1Qdzxm1bhvN85gp%2B6h%2FA%2BU%2BmQfK31kpnFRFIzlb%2Fsq7fowhxkZUU42%2FeVCkWKPzKzV645p4Vhjg8FQwuyGCI%2Bg3dUVY%2FXoQXMb%2B44FzX6HW5Ty%2FJ%2FA8nc9%2BZlx94YAUkM9lQ7%2FFy%2BGEvHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=22206292404&catId=50002215
7,조이야드 푸르젠 포근포근 감자 대 10kg,"최저25,900원",https://cr.shopping.naver.com/adcr.nhn?x=lyo3yAyqVympPpGONcA%2ByP%2F%2F%2Fw%3D%3Dsm9jS%2BcN0bh%2FtzYID9%2FyYsF2HP5UiwYEQReQIzoZq2p%2F6tqFPUgrb4kukVk4dN7aAChHCYB3XZbjh4At1YxH6lUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2Fbtf3iUJ2MiRfDxMnUhqKTzDnEyD4NZfxJjuciBlmwFsKApDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExi6U8ATFyRG91WxWQs%2F9MAZnej2z53PUS1TSUIYwD3Ij6ijoc0bAzZ9Ere3GQRwqNR%2FQ7YNmkcDWZvuv639FqbELpTEl5qHQ6bSWQg5m1P1kiFoDJZhFh8Ku7ZXNtE%2BkkwXyNmGg2hNkhy73et7b2x%2BXyDJQ95LJhFFi6fK4Zu7Xz%2BkUYxZpf8kyU5OZYcdVkyE%2FbwAvL6U3f%2FpejajXrXsramjBwCZI9AwCV4mCTWQmWDhO%2B8rJtHvfKk6CKRPYWYLuzpgWKJlh1fjgshD%2BziLVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=22188096969&catId=50002215
8,바로푸드 국내산 햇 수미감자 상 3kg,"최저12,900원",https://cr.shopping.naver.com/adcr.nhn?x=A%2FinS9SMzrSoNucneXxfFP%2F%2F%2Fw%3D%3DsNLxpCKYBwTQ96hIg9QyAO%2F%2FDkLoTWIvy0jneyua6v5L11%2FXqYoC%2FPbVadL01uMO3q%2FiFcBoIklLSleoELzSBr9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHKrSIcZi51i57IK9dEOieM3LJOYH7%2BUr%2BgXR5VVpnF%2BK7RXiwcjGWeYWpdeGl2PwEHinNrx5sg4hc%2Bs%2BwYZL3l6Tq%2FbD2MGowZHhNOyBhpCdg%2FtA6up4c81jdEn153bTAJxjlN%2Bfta3EY5F7nPVl8eUykJ9tAJB2qMGkn5TaT1UbPPJrxjpBga%2Bf8M%2BB6nL1d334rL%2BbR36BhYe0R%2FrUmjgBSTS1sRv49oBHxm%2Bxq6HhDWJU%2FEW9f0xeOe4ha4I1AD0qnv%2B39A%2FmafN%2FfTS4g8zFTIQfeZK%2FbagYa3FYad6%2Fw0hRvmHsQ04wv5Bm23bp%2FKtSXliMdM%2Fle4Mph%2BtYf4AvAts%2FiNAzDpVWXZoRUG2Xjb5jk%2BFN8ZJvmiUG3RF2%2FJYqgSLWbHONkOlIDVNWrXaOuInwfQ1XmfH35WvRpRXa5Onfcse1cHZVIyRi11UjwIeFQ7h2Qbq9hrXcS9E3ThfoLRdeTzJJo5DQ5ovPMjEVcse8SSlTbxYh4r7XkCxUSFSkKhIYHYp7eziNuCDnp4YVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=28665988556&catId=50002215
9,강원도 수미감자 특 20kg,"최저108,400원",https://cr.shopping.naver.com/adcr.nhn?x=Rar%2B7ikEsB6uD6qVy%2FVq%2Bv%2F%2F%2Fw%3D%3Dsuka%2BR6MfIMeP4a3b04AXAwP4cIIXIXU5qHAk1l60kwn11%2FXqYoC%2FPbVadL01uMO3VtJyArycP0xPVf8Vf6p5KNyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHKrSIcZi51i57IK9dEOieM3LJOYH7%2BUr%2BgXR5VVpnF%2BK7RXiwcjGWeYWpdeGl2PwEHinNrx5sg4hc%2Bs%2BwYZL3l6Tq%2FbD2MGowZHhNOyBhpCc8QjNkNSfyBRld0NM8aHo2rySMs6xanccMYZJeQEVY0EykJ9tAJB2qMGkn5TaT1UbPPJrxjpBga%2Bf8M%2BB6nL1d334rL%2BbR36BhYe0R%2FrUmjgBSTS1sRv49oBHxm%2Bxq6Hit0WZZn8MZi9NtTxCXeKB%2BJl5XruIOUnUeIekZUmNfnzFTIQfeZK%2FbagYa3FYad684713M%2Bg7g5AL5yZSP%2FEbutjmM6TnNXpc7yOV%2FO%2B%2B8wjactcTsb9hY7XFIVDpR3FmQA7%2FAfuN%2BDzHmjZwg4UgjEAgXpgV%2F509e4J7kiViLLOYKfuofwPlPpkHyt9ZKZxUrl5q69uoc34qJnSv7VcR6O3cqni%2BZHczxfSNZSveZ%2BXs3T4qzSBIVN2HAysFdoOQKZrpvErqySOS2Mi1mo9Lj%2B1cwHbvzzkIcankfQFs0pw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=22178694100&catId=50002215
10,강원도 수미감자 특 3kg,"최저23,600원",https://cr.shopping.naver.com/adcr.nhn?x=KWREgByJ4FnSLCyBCKBHlf%2F%2F%2Fw%3D%3Dscm2lq3n9Uw8Qd45BG2LQuHb5lzUgFUYcawlsxgtN07X6tqFPUgrb4kukVk4dN7aA6jHxRNc8CtZ2wunOSdSW10gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2FbsH%2FyLSL%2Fo7bRRgFFI8qgSta27H6ttp0cdZzugQLcovYgpDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExjJTGPpaURmyOuTlGJ6ygCmMYtTqz2d9AlLB1q5Qt4F7Kijoc0bAzZ9Ere3GQRwqNRM4NxVw0BBSmsVpeqHO1BOLpTEl5qHQ6bSWQg5m1P1knjAsD20E%2F7058PKngJPUi7czruR6JOS35PWtxEudGMi2XSNBLyIIavyAC%2FU8EDGvGmxoko%2B0j%2FBUD9o10%2FM%2FZMFbjTnytY0lVe%2Fa5dmuyFN71tqtWQablf%2F77SlIExh5%2BFjpDA3qWdjYSfNsO2C8YKjxRfD0yI0gC8CdgWWaXSRPm2V2WLj0oLfvtXSAq9jPg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=22178669906&catId=50002215
11,강원도 당진 햇감자 5kg,"최저24,810원",https://cr.shopping.naver.com/adcr.nhn?x=xzs7n%2Fp6pq5uRbFFHHuJtP%2F%2F%2Fw%3D%3Ds%2Fy08iSI9rJ1u4zrxbCA06Ob9l2Acykj%2BhlyiB0sjJAf11%2FXqYoC%2FPbVadL01uMO3i0u%2Fm1S5hWmGN8K6ZERHLdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHKrSIcZi51i57IK9dEOieM3LJOYH7%2BUr%2BgXR5VVpnF%2BK7RXiwcjGWeYWpdeGl2PwEHinNrx5sg4hc%2Bs%2BwYZL3l6Tq%2FbD2MGowZHhNOyBhpCc8QjNkNSfyBRld0NM8aHo2FwxKhFpnIdXyX1RF4OMS5UykJ9tAJB2qMGkn5TaT1UbPPJrxjpBga%2Bf8M%2BB6nL1d334rL%2BbR36BhYe0R%2FrUmjgBSTS1sRv49oBHxm%2Bxq6HhjskjPyy4UYwINwU8XheNKEWdqplbH%2Bl9ZG%2BcBMAz9gzFTIQfeZK%2FbagYa3FYad6%2BY8ZI8aMsRGkYbZ5gRpu9P9E1o01N70KHVTV0%2FSKghkzactcTsb9hY7XFIVDpR3FmHMFH6T5Q5yUW%2Bt85hQm4QuWHQ5cdXVtZduP2vsDqSEIjwIVOip%2BreLicErQgyHHq%2BmTj17mQPdjo5ztNfXn0Rs8DyeamzCpD8NX7E42gAyCWFf3L%2Br25WhgFnuQHOJjgM8LvYH0vds9984hU5JAPDvY1TiMhlEW2yPg%2BhbMkERkHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=22178612072&catId=50002215
12,루토사 엑스트라 크리스피 슈스트링 감자튀김 2kg,"최저6,420원",https://cr.shopping.naver.com/adcr.nhn?x=iLyAl%2BcccnZB7QlwC3oO8%2F%2F%2F%2Fw%3D%3Dst0Id5NBbDACKCIv4t84p9G%2BynRJBaDuodF%2Fj7dvsfqP6tqFPUgrb4kukVk4dN7aAK2f8kKADK%2BdhZEM4eX1xhEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS4QPlYXyL3cnursDztOpIele6WUqrzgxtJA%2F39mHt4Ff4caovVTCIm8tA7LDZLBDTRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2Fbv8uI7APIfTWV9SB5N0i01ZAYxl29v%2Btb0QgDixM0%2BLvgpDZQ8Sr5A9bAXG5x9YHB2OwYdfwd9mz6JQam7s%2BAfuy%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExjkijg3LSbG8udZl7jW5c6DMYtTqz2d9AlLB1q5Qt4F7FrJHhqXwVshp4M8nKDLMothrk8%2FIw3517AjvD16LPDuLpTEl5qHQ6bSWQg5m1P1khMLLsuYsXFS%2BNkgzX61rsDlM%2FNaOPte6gyI8UZqgd76tPPoaBZQ4Fgg4xeA3NKMbg4RdBaUQxyliAjv7IKz8GYGZv2ToEDSrSLUmgVBwt29aMftDabvCIUwtqtILVFnt7%2FYwSzhSB%2Bh11qB1nkLO%2FfkTPxgmw3Lfr8I61fBWTxxCdEHD%2FHV8hpTSILi5JBNPaaqC731jphaY5ljBFLVpuCOvnrLIilWIe%2FuVL16Q6oAQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=31206303213&catId=50001877
